product_id;product_name;discounted_price;actual_price;discount_percentage;rating;rating_count;main_category;sub_category;product_type;savings;price_range;rating_category;review_count;sentiment_mean;pct_positif;pct_negatif;sentiment_label
B07V5YF4ND;LOHAYA LCD/LED Remote Compatible for Sony Bravia Smart LCD LED UHD OLED QLED 4K Ultra HD TV Remote Control with YouTube & Netflix Function [ Compatible for Sony Tv Remote Control ];299;1199;75;3,5;466;Electronics;HomeTheater,TV&Video;RemoteControls;900;Budget <500;Moyen;8;0,114355556;33,3;33,3;Positif
B0B65P827P;Zebronics CU3100V Fast charging Type C cable with QC 18W support, 3A max capacity, 1 meter braided cable, Data transfer and Superior durability (Braided Black );128,31;549;77;3,9;61;Computers&Accessories;Accessories&Peripherals;USBCables;420,69;Budget <500;Moyen;8;0,037033333;55,6;33,3;Neutre
B084MZYBTV;Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - White, USB-IF Certified;599;849;29;4,5;474;Computers&Accessories;Accessories&Peripherals;USBCables;250;Mid-range 500-2000;Excellent;8;0,327461538;69,2;0;Positif
B097ZQTDVZ;7SEVEN® TCL Remote Control Smart TV RC802V Remote Compatible for TCL TV Remote Original 55EP680 40A325 49S6500 55P8S 55P8 50P8 65P8 40S6500 43S6500FS 49S6800FS 49S6800 49S6510FS(Without Voice Function/Google Assistant and Non-Bluetooth remote);399;899;56;3,4;431;Electronics;HomeTheater,TV&Video;RemoteControls;500;Budget <500;Faible;8;0,129134783;47,8;26,1;Positif
B0B5F3YZY4;Wayona 3in1 Nylon Braided 66W USB Fast Charging Cable with Type C, Lightening and Micro USB Port, Compatible with iPhone, iPad, Samsung Galaxy, OnePlus, Mi, Oppo, Vivo, iQOO, Xiaomi (1M, Black);449;1099;59;4;242;Computers&Accessories;Accessories&Peripherals;USBCables;650;Budget <500;Moyen;8;0,453973913;82,6;0;Positif
B09G5TSGXV;Hi-Mobiler iPhone Charger Lightning Cable,2 Pack Apple MFi Certified USB iPhone Fast Chargering Cord,Data Sync Transfer for 13/12/11 Pro Max Xs X XR 8 7 6 5 5s iPad iPod More Model Cell Phone Cables;254;799;68;4;2905;Computers&Accessories;Accessories&Peripherals;USBCables;545;Budget <500;Moyen;8;0,29606;80;20;Positif
B006LW0WDQ;Amazon Basics 16-Gauge Speaker Wire - 50 Feet;399;795;50;4,4;12091;Electronics;HomeTheater,TV&Video;SpeakerCables;396;Budget <500;Bon;8;0,362441176;70,6;0;Positif
B09YLX91QR;Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, White);179;399;55;4;1423;Computers&Accessories;Accessories&Peripherals;USBCables;220;Budget <500;Moyen;8;0,6362;100;0;Positif
B081FJWN52;Wayona Usb Type C To Usb Nylon Braided Quick Charger Fast Charging Short Cable For Smartphone (Samsung Galaxy S21/S20/S10/S9/S9+/Note 9/S8/Note 8, Lg G7 G5 G6, Moto G6 G7) (0.25M,Grey);339;999;66;4,3;6255;Computers&Accessories;Accessories&Peripherals;USBCables;660;Budget <500;Bon;8;0,2594;72,2;0;Positif
B0758F7KK7;Caprigo Heavy Duty TV Wall Mount Bracket for 14 to 32 Inch LED/HD/Smart TV’s, Universal Fixed TV Wall Mount Stand (M452);399;999;60;4;1236;Electronics;HomeTheater,TV&Video;TVWall&CeilingMounts;600;Budget <500;Moyen;8;0,27715;66,7;25;Positif
B09L835C3V;Smashtronics® - Case for Firetv Remote, Fire Stick Remote Cover Case, Silicone Cover for TV Firestick 4K/TV 2nd Gen(3rd Gen) Remote Control - Light Weight/Anti Slip/Shockproof (Black);199;399;50;4,2;1335;Electronics;HomeTheater,TV&Video;RemoteControls;200;Budget <500;Bon;8;0,279366667;55,6;22,2;Positif
B098TV3L96;Electvision Remote Control for led Smart tv Compatible with VU Smart Led (Without Voice);349;1999;83;3,8;197;Electronics;HomeTheater,TV&Video;RemoteControls;1650;Budget <500;Moyen;8;0,34594;60;30;Positif
B08NCKT9FG;Boat A 350 Type C Cable 1.5m(Jet Black);299;798;63;4,4;28791;Computers&Accessories;Accessories&Peripherals;USBCables;499;Budget <500;Bon;8;0,4782;77,8;11,1;Positif
B0B4T6MR8N;pTron Solero M241 2.4A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Durable 1-Meter Long USB Cable for Micro USB Devices (White);89;800;89;3,9;1075;Computers&Accessories;Accessories&Peripherals;USBCables;711;Budget <500;Moyen;8;0,447358333;66,7;8,3;Positif
B01GGKZ4NU;AmazonBasics USB Type-C to USB Type-C 2.0 Cable for Charging Adapter, Smartphone - 9 Feet (2.7 Meters) - White;549;995;45;4,2;29746;Computers&Accessories;Accessories&Peripherals;USBCables;446;Mid-range 500-2000;Bon;8;0,28971;70;0;Positif
B09BW2GP18;Croma 3A Fast charge 1m Type-C to All Type-C Phones sync and charge cable, Made in India, 480Mbps Data transfer rate, Tested Durability with 8000+ bends (12 months warranty) - CRCMA0106sTC10, Black;129;1000;87;3,9;295;Computers&Accessories;Accessories&Peripherals;USBCables;871;Budget <500;Moyen;8;0,28;75;8,3;Positif
B09WN3SRC7;Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74K (Black);77990;139900;44;4,7;5935;Electronics;HomeTheater,TV&Video;SmartTelevisions;61910;Luxe >10000;Excellent;8;0,333933333;77,8;11,1;Positif
B09B125CFJ;7SEVEN® Compatible for Mi tv Remote Control Original Suitable with Smart Android 4K LED Non Voice Command Xiaomi Redmi Remote of 4A Model 32 43 55 65 inches;349;799;56;3,6;323;Electronics;HomeTheater,TV&Video;RemoteControls;450;Budget <500;Moyen;8;0,22705;83,3;8,3;Positif
B09RQRZW2X;7SEVEN® Compatible Vu Smart Tv Remote Control Suitable for Original 4K Android LED Ultra HD UHD Vu Tv Remote with Non Voice Feature without google assistant;499;899;44;3,7;185;Electronics;HomeTheater,TV&Video;RemoteControls;400;Budget <500;Moyen;8;0,22397;70;20;Positif
B07924P3C5;Storite High Speed Micro USB 3.0 Cable A to Micro B for External & Desktop Hard Drives 45cm;299;799;63;4,2;2117;Computers&Accessories;Accessories&Peripherals;USBCables;500;Budget <500;Bon;8;0,233269231;69,2;23,1;Positif
B08N1WL9XW;FLiX (Beetel) 3in1 (Type C|Micro|Iphone Lightening) Textured Pattern 3A Fast Charging Cable with QC & PD Support for Type C,Micro USB & Lightning Iphone Cable,Made in India,1.5 Meter Long Cable(T101);182;599;70;4;9378;Computers&Accessories;Accessories&Peripherals;USBCables;417;Budget <500;Moyen;8;0,27992;50;10;Positif
B07VVXJ2P5;SVM Products Unbreakable Set Top Box Stand with Dual Remote Holder (Black);96;399;76;3,6;1796;Electronics;HomeTheater,TV&Video;TVWall&CeilingMounts;303;Budget <500;Moyen;8;0,302875;87,5;12,5;Positif
